Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Angola,"11,626,360","12,023,529","12,423,712","12,827,135","13,249,764","13,699,778","14,170,973","14,660,413","15,159,370","15,667,235","16,194,869","16,747,208","17,327,699","17,943,712","18,600,423","19,291,161","20,015,279","20,778,561","21,578,655","22,414,773","23,294,825","24,218,352","25,177,394","26,165,620","27,160,769","28,157,798","29,183,070","30,234,839","31,297,155","32,375,632","33,451,132","34,532,429","35,635,029","36,749,906","37,885,849",
Botswana,"1,305,696","1,341,756","1,380,033","1,420,115","1,460,023","1,498,836","1,535,914","1,571,691","1,606,899","1,641,997","1,677,382","1,712,254","1,744,763","1,775,736","1,807,146","1,839,877","1,874,516","1,911,201","1,949,970","1,990,673","2,033,111","2,073,535","2,108,617","2,140,682","2,172,044","2,203,273","2,234,776","2,266,747","2,299,141","2,332,083","2,365,894","2,401,441","2,439,892","2,480,244","2,521,139",
DRC,"36,684,063","37,925,817","39,228,910","40,656,336","42,626,876","44,433,704","45,296,124","46,029,902","47,297,600","48,912,971","50,507,442","52,132,646","53,750,524","55,343,867","56,997,741","58,775,724","60,615,908","62,477,752","64,390,664","66,412,044","68,563,038","70,849,311","73,254,618","75,789,395","78,403,242","81,035,531","83,956,415","87,083,398","90,047,644","92,947,442","95,989,998","99,148,932","102,396,968","105,789,731","109,276,265",
Lesotho,"1,809,696","1,842,379","1,873,274","1,901,793","1,927,707","1,951,437","1,972,418","1,988,130","1,998,049","2,003,234","2,003,913","2,000,853","1,994,679","1,985,059","1,971,129","1,953,076","1,945,063","1,953,268","1,966,541","1,980,883","1,996,251","2,014,009","2,034,354","2,056,504","2,080,089","2,104,611","2,130,422","2,157,110","2,183,603","2,209,405","2,235,727","2,261,542","2,286,110","2,311,472","2,337,423",
Malawi,"9,545,852","9,844,227","10,135,079","10,284,024","10,164,894","10,150,117","10,352,228","10,562,035","10,792,876","11,047,804","11,315,942","11,593,058","11,880,440","12,181,574","12,500,737","12,840,031","13,198,701","13,576,343","13,976,417","14,395,788","14,826,463","15,265,022","15,709,577","16,161,816","16,621,538","17,085,587","17,557,739","18,039,715","18,528,081","19,025,752","19,533,888","20,047,258","20,568,728","21,104,482","21,655,286",
Mozambique,"13,094,537","13,352,090","13,613,316","14,051,192","15,033,853","15,960,530","16,492,480","16,949,982","17,340,464","17,734,506","18,129,653","18,537,729","18,958,338","19,392,475","19,840,313","20,304,569","20,787,087","21,287,635","21,819,036","22,391,745","22,999,235","23,649,039","24,337,846","25,051,611","25,788,475","26,547,572","27,337,105","28,166,393","29,018,644","29,884,380","30,783,688","31,707,800","32,656,246","33,635,160","34,631,766",
Namibia,"1,369,303","1,415,684","1,461,322","1,508,697","1,556,304","1,602,170","1,646,103","1,689,264","1,732,745","1,776,368","1,818,647","1,857,048","1,889,970","1,917,464","1,942,082","1,966,582","1,991,888","2,018,600","2,047,056","2,077,394","2,109,811","2,146,325","2,194,654","2,252,508","2,312,139","2,374,300","2,439,213","2,506,853","2,577,327","2,650,494","2,728,762","2,810,548","2,889,662","2,963,095","3,030,131",
South Africa,"40,746,268","41,687,898","42,443,509","43,297,156","44,004,139","44,541,554","45,123,018","45,666,838","46,223,880","46,730,335","47,159,719","47,566,800","48,019,415","48,500,348","48,991,421","49,490,033","49,998,277","50,528,584","51,114,599","51,728,516","52,344,051","52,995,205","53,782,567","54,678,791","55,594,838","56,723,537","57,259,551","57,635,162","58,613,001","59,587,885","60,562,381","61,502,603","62,378,410","63,212,384","64,007,187",
Swazilannd,"872,428","908,189","943,416","971,318","971,212","970,433","989,841","1,006,635","1,019,653","1,030,782","1,041,414","1,051,064","1,059,441","1,066,700","1,073,159","1,079,022","1,084,436","1,090,705","1,098,091","1,105,153","1,111,650","1,117,833","1,123,863","1,129,990","1,136,299","1,142,813","1,149,507","1,158,195","1,168,929","1,179,874","1,192,729","1,206,593","1,218,917","1,230,506","1,242,822",
Tanzania,"26,110,207","26,780,436","27,457,588","28,332,692","29,442,356","30,383,497","30,945,762","31,578,089","32,420,458","33,300,330","34,260,139","35,198,299","36,121,304","37,089,555","38,109,668","39,182,076","40,294,902","41,435,512","42,570,728","43,633,982","44,758,488","46,029,367","47,374,260","48,824,128","50,351,512","52,020,962","53,824,013","55,652,890","57,437,145","59,174,891","60,972,798","62,830,412","64,711,821","66,617,606","68,560,157",
Zambia,"7,786,169","7,981,650","8,176,680","8,373,921","8,576,269","8,785,763","9,004,053","9,237,063","9,482,408","9,740,005","10,017,631","10,325,185","10,647,949","10,983,595","11,338,198","11,718,819","12,129,553","12,565,085","13,021,324","13,490,389","13,965,594","14,437,796","14,913,629","15,398,997","15,895,315","16,399,089","16,914,423","17,441,320","17,973,569","18,513,839","19,059,395","19,603,607","20,152,938","20,723,965","21,314,956",
Zimbabwe,"10,137,281","10,404,816","10,702,700","10,860,288","10,873,148","10,974,599","11,158,360","11,369,827","11,594,297","11,783,458","11,892,055","11,971,901","12,087,653","12,232,323","12,365,896","12,483,432","12,636,445","12,804,058","12,959,149","13,142,790","13,356,548","13,595,424","13,817,887","14,013,808","14,207,359","14,399,013","14,600,294","14,812,482","15,034,452","15,271,368","15,526,888","15,797,210","16,069,056","16,340,822","16,634,373",
