Country Name,2022 (t/y),2050 (t/y),2022 (t/d),2050 (t/d)
Angola,"8,090,355 ","22,788,288 ","22,165 ","62,434 "
Botswana,"267,425 ","514,120 ",733 ,"1,409 "
DRC,"22,832,037 ","63,347,409 ","62,554 ","173,555 "
Lesotho,"178,344 ","420,312 ",489 ,"1,152 "
Malawi,"3,420,595 ","7,251,331 ","9,371 ","19,867 "
Mozambique,"3,997,445 ","8,549,979 ","10,952 ","23,425 "
Namibia,"740,297 ","1,670,303 ","2,028 ","4,576 "
South Africa,"7,901,976 ","13,932,026 ","21,649 ","38,170 "
Swazilannd,"268,654 ","525,040 ",736 ,"1,438 "
Tanzania,"15,450,695 ","41,484,750 ","42,331 ","113,657 "
Zambia,"4,352,733 ","15,073,020 ","11,925 ","41,296 "
Zimbabwe,"2,665,434 ","7,260,977 ","7,303 ","19,893 "
Total,"70,165,990 ","182,817,556 ","192,236 ","500,870 "
