Year,GDP per capita growth (annual %)
1960,
1961,0.971 
1962,3.066 
1963,4.168 
1964,4.693 
1965,2.909 
1966,1.252 
1967,3.904 
1968,0.957 
1969,1.531 
1970,2.106 
1971,1.269 
1972,(1.218)
1973,1.624 
1974,3.161 
1975,(1.083)
1976,(0.479)
1977,(2.759)
1978,0.240 
1979,1.019 
1980,3.425 
1981,1.834 
1982,(3.768)
1983,(5.216)
1984,1.522 
1985,(4.452)
1986,(3.129)
1987,(1.033)
1988,1.074 
1989,(0.571)
1990,(3.052)
1991,(3.254)
1992,(3.879)
1993,(0.762)
1994,1.542 
1995,1.856 
1996,2.956 
1997,1.378 
1998,(0.711)
1999,1.290 
2000,3.251 
2001,1.821 
2002,2.723 
2003,1.928 
2004,3.507 
2005,4.216 
2006,4.530 
2007,4.255 
2008,2.008 
2009,(2.707)
2010,1.828 
2011,1.901 
2012,0.897 
2013,0.806 
2014,(0.257)
2015,(0.694)
2016,(0.278)
2017,0.499 
2018,(0.137)
2019,(1.380)
2020,(7.679)
2021,3.256 
2022,0.625 
2023,(0.524)
2024,(0.714)
2025,(0.041)
