Year,GDP per capita (current US$)
1960,532.15 
1961,545.66 
1962,563.42 
1963,604.54 
1964,645.87 
1965,684.62 
1966,721.75 
1967,778.84 
1968,817.13 
1969,890.92 
1970,952.35 
1971,"1,020.44 "
1972,"1,038.39 "
1973,"1,369.16 "
1974,"1,656.29 "
1975,"1,670.12 "
1976,"1,559.00 "
1977,"1,671.47 "
1978,"1,851.75 "
1979,"2,201.52 "
1980,"3,028.97 "
1981,"3,049.71 "
1982,"2,717.16 "
1983,"2,938.49 "
1984,"2,504.08 "
1985,"1,839.48 "
1986,"2,027.47 "
1987,"2,586.27 "
1988,"2,702.06 "
1989,"2,726.71 "
1990,"3,093.49 "
1991,"3,243.24 "
1992,"3,462.39 "
1993,"3,399.64 "
1994,"3,488.60 "
1995,"3,855.63 "
1996,"3,617.55 "
1997,"3,700.24 "
1998,"3,309.61 "
1999,"3,242.37 "
2000,"3,217.85 "
2001,"2,847.15 "
2002,"2,688.24 "
2003,"4,062.22 "
2004,"5,221.46 "
2005,"5,836.88 "
2006,"6,077.38 "
2007,"6,591.86 "
2008,"6,184.75 "
2009,"6,374.71 "
2010,"7,973.47 "
2011,"8,646.06 "
2012,"8,076.98 "
2013,"7,331.65 "
2014,"6,856.73 "
2015,"6,112.27 "
2016,"5,651.21 "
2017,"6,618.34 "
2018,"6,914.18 "
2019,"6,533.71 "
2020,"5,580.60 "
2021,"6,828.76 "
2022,"6,534.25 "
2023,"6,034.27 "
2024,"6,267.19 "
2025,"6,597.71 "
