Year,Real interest rate (%)
1961,5.20 
1962,6.01 
1963,2.42 
1964,3.67 
1965,3.80 
1966,3.25 
1967,4.23 
1968,4.24 
1969,0.57 
1970,3.32 
1971,2.73 
1972,(1.74)
1973,(7.79)
1974,(4.05)
1975,0.76 
1976,1.78 
1977,2.03 
1978,1.45 
1979,(3.48)
1980,(11.01)
1981,2.33 
1982,4.17 
1983,(0.34)
1984,10.06 
1985,4.61 
1986,(1.99)
1987,(2.04)
1988,(0.08)
1989,2.35 
1990,4.81 
1991,4.03 
1992,3.65 
1993,2.46 
1994,5.26 
1995,6.37 
1996,10.64 
1997,10.97 
1998,12.69 
1999,10.40 
2000,4.87 
2001,5.54 
2002,2.85 
2003,8.05 
2004,4.95 
2005,4.76 
2006,4.81 
2007,4.55 
2008,6.75 
2009,2.80 
2010,3.49 
2011,3.28 
2012,3.88 
2013,2.51 
2014,3.57 
2015,3.67 
2016,3.28 
2017,4.65 
2018,5.86 
2019,5.27 
2020,2.20 
2021,0.60 
2022,3.37 
2023,6.47 
2024,7.42 
2025,7.68 
