Country,Level,Date
Ethiopia,Parliamentary,01-Jun-26
Algeria,Parliamentary,02-Jul-26
São Tomé and Príncipe,Presidential,Jul-26
Zambia,Presidential,13-Aug-26
Zambia,Parliamentary,13-Aug-26
South Africa,Municipal,04-Nov-26
Morocco,Parliamentary,23-Sep-26
São Tomé and Príncipe,Parliamentary,Sep-26
Cape Verde,Presidential,15-Nov-26
The Gambia,Presidential,Dec-26
Guinea-Bissau,General,06-Dec-26
South Sudan,General,22-Dec-26
Cameroon,Parliamentary,Dec-26
Nigeria,Presidential,27-Feb-27
Nigeria,Parliamentary,27-Feb-27
Lesotho,Parliamentary,Feb-27
Somaliland,Parliamentary,Mar-27
The Gambia,Parliamentary,Apr-27
Burundi,Presidential,May-27
Kenya,Presidential,10-Aug-27
Kenya,Parliamentary,10-Aug-27
Angola,Presidential,Aug-27
Angola,Parliamentary,Aug-27
Equatorial Guinea,Parliamentary,Nov-27
Tunisia,Parliamentary,Dec-27
Djibouti,Parliamentary,Feb-28
Mauritania,Parliamentary,May-28
Sierra Leone,Parliamentary,Jun-28
Sierra Leone,Presidential,Jun-28
Zimbabwe,Presidential,Aug-28
Zimbabwe,Parliamentary,Aug-28
Madagascar,Presidential,Nov-28
Ghana,Presidential,07-Dec-28
Ghana,Parliamentary,07-Dec-28
Democratic Republic of the Congo,Presidential,Dec-28
Democratic Republic of the Congo,Parliamentary,Dec-28
Comoros,Presidential,Jan-29
Senegal,Presidential,Mar-29
Chad,Presidential,May-29
Madagascar,Parliamentary,May-29
South Africa,Parliamentary,May-29
Mauritania,Presidential,Jun-29
Rwanda,Presidential,15-Jul-29
Rwanda,Parliamentary,Jul-29
Algeria,Presidential,Sep-29
Botswana,Parliamentary,Oct-29
Liberia,Presidential,Oct-29
Liberia,Parliamentary,Oct-29
Mozambique,Presidential,Oct-29
Mozambique,Parliamentary,Oct-29
Mauritius,Parliamentary,Nov-29
Namibia,Presidential,Nov-29
Namibia,Parliamentary,Nov-29
Equatorial Guinea,Presidential,Nov-29
Ethiopia,Presidential,Oct-30
Egypt,Presidential,Dec-30
