Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Angola,,,,,,,,,,,24.20 ,20.00 ,26.30 ,27.40 ,28.40 ,29.40 ,30.50 ,37.50 ,38.50 ,33.80 ,35.00 ,34.60 ,37.30 ,38.40 ,32.00 ,42.00 ,41.80 ,42.90 ,45.30 ,45.60 ,47.00 ,48.20 ,48.50 ,51.10 ,,
Botswana,,10.10 ,9.40 ,11.64 ,13.88 ,16.13 ,18.36 ,20.60 ,22.83 ,25.05 ,26.50 ,24.80 ,27.00 ,33.10 ,35.30 ,37.50 ,39.70 ,41.90 ,44.50 ,43.40 ,52.00 ,53.20 ,56.00 ,58.00 ,60.00 ,62.10 ,64.20 ,67.40 ,68.30 ,70.10 ,71.80 ,73.70 ,75.90 ,76.00 ,,
DRC,,,,,,,,,,,6.70 ,7.10 ,7.70 ,8.30 ,9.00 ,6.00 ,10.20 ,15.20 ,11.60 ,12.30 ,13.00 ,13.70 ,15.40 ,15.20 ,13.50 ,16.60 ,17.30 ,18.00 ,18.70 ,19.10 ,20.10 ,20.80 ,21.50 ,22.10 ,,
Lesotho,,,,,,,,,,,4.30 ,1.30 ,3.40 ,5.40 ,6.80 ,9.60 ,9.70 ,13.90 ,16.00 ,17.00 ,17.00 ,22.50 ,20.60 ,26.90 ,27.80 ,31.80 ,35.10 ,33.70 ,47.00 ,44.60 ,47.50 ,50.40 ,50.00 ,57.30 ,,
Malawi,,,3.20 ,1.55 ,2.01 ,2.47 ,2.93 ,3.38 ,3.83 ,4.27 ,4.80 ,5.20 ,5.60 ,6.20 ,6.90 ,6.60 ,3.70 ,7.40 ,7.80 ,8.30 ,8.70 ,7.60 ,7.40 ,9.00 ,11.90 ,10.80 ,11.00 ,12.70 ,18.00 ,11.20 ,11.50 ,14.20 ,14.00 ,15.60 ,,
Mozambique,,,,,,,,6.60 ,3.66 ,4.88 ,6.10 ,5.70 ,8.40 ,8.10 ,10.70 ,11.80 ,13.00 ,12.40 ,13.60 ,15.00 ,18.90 ,20.20 ,21.20 ,22.40 ,24.80 ,24.00 ,26.20 ,24.30 ,31.10 ,29.70 ,30.60 ,31.50 ,33.20 ,36.00 ,,
Namibia,,,26.40 ,27.00 ,28.93 ,29.95 ,30.97 ,31.98 ,32.99 ,34.00 ,36.50 ,36.00 ,36.90 ,37.80 ,38.70 ,39.60 ,40.50 ,43.70 ,42.40 ,44.10 ,44.40 ,42.30 ,46.40 ,47.40 ,48.40 ,51.60 ,49.70 ,52.50 ,52.30 ,53.30 ,52.30 ,55.20 ,56.20 ,56.70 ,,
South Africa,,,,,,,57.60 ,69.48 ,64.90 ,71.33 ,72.40 ,70.20 ,76.70 ,78.80 ,80.60 ,80.80 ,80.70 ,82.00 ,81.90 ,82.60 ,82.80 ,83.60 ,85.20 ,85.20 ,85.90 ,85.30 ,83.90 ,84.40 ,84.70 ,85.00 ,90.00 ,89.30 ,86.50 ,87.70 ,,
Swazilannd,,,,,,,,,,,20.40 ,26.90 ,25.90 ,28.70 ,31.40 ,34.20 ,35.20 ,39.80 ,42.60 ,38.60 ,45.60 ,51.20 ,54.30 ,57.50 ,65.00 ,64.10 ,63.40 ,73.50 ,74.00 ,77.00 ,80.00 ,82.90 ,82.30 ,86.40 ,,
Tanzania,,,6.80 ,2.33 ,3.30 ,4.27 ,9.40 ,6.20 ,7.16 ,8.00 ,8.70 ,9.70 ,10.70 ,11.10 ,11.40 ,13.80 ,14.90 ,15.90 ,11.50 ,11.20 ,14.80 ,14.20 ,15.30 ,16.40 ,23.50 ,26.20 ,32.80 ,32.10 ,34.90 ,37.70 ,39.90 ,42.70 ,45.80 ,48.30 ,,
Zambia,13.90 ,12.75 ,19.20 ,14.21 ,14.94 ,15.67 ,17.30 ,17.11 ,19.00 ,18.54 ,16.70 ,20.20 ,17.40 ,18.50 ,20.30 ,23.30 ,24.10 ,18.50 ,25.70 ,26.60 ,22.00 ,28.30 ,29.20 ,30.10 ,27.90 ,31.10 ,35.40 ,40.30 ,40.20 ,43.00 ,44.60 ,46.70 ,47.80 ,51.10 ,,
Zimbabwe,,,28.20 ,31.16 ,28.10 ,31.95 ,32.34 ,32.72 ,33.10 ,38.40 ,33.70 ,34.20 ,34.20 ,35.10 ,35.60 ,36.10 ,37.20 ,37.20 ,37.70 ,43.40 ,38.90 ,36.90 ,44.00 ,40.60 ,32.30 ,33.70 ,42.50 ,44.00 ,45.40 ,46.70 ,52.70 ,49.00 ,50.10 ,62.00 ,,
