Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Angola,54 ,55 ,54 ,53 ,52 ,50 ,52 ,70 ,74 ,73 ,76 ,84 ,87 ,97 ,89 ,102 ,130 ,135 ,168 ,197 ,207 ,207 ,272 ,276 ,310 ,306 ,332 ,315 ,371 ,411 ,439 ,395 ,373 ,379 ,,
Botswana,758 ,843 ,914 ,908 ,946 ,917 ,943 ,"1,008 ","1,075 ","1,130 ","1,209 ","1,248 ","1,325 ","1,417 ","1,472 ","1,518 ","1,517 ","1,538 ","1,528 ","1,575 ","1,574 ","1,581 ","1,640 ","1,626 ","1,806 ","1,727 ","1,657 ","1,618 ","1,575 ","1,502 ","1,472 ","1,464 ","1,590 ","1,641 ",,
DRC,123 ,119 ,110 ,98 ,96 ,102 ,99 ,91 ,89 ,89 ,90 ,89 ,83 ,84 ,82 ,83 ,95 ,98 ,95 ,100 ,99 ,102 ,106 ,111 ,117 ,112 ,107 ,110 ,121 ,126 ,130 ,134 ,131 ,129 ,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,42 ,56 ,55 ,52 ,44 ,45 ,45 ,53 ,48 ,68 ,123 ,273 ,265 ,375 ,452 ,457 ,467 ,470 ,455 ,456 ,466 ,493 ,484 ,486 ,467 ,477 ,482 ,473 ,450 ,459 ,417 ,406 ,398 ,391 ,,
Namibia,0 ,"1,087 ","1,044 ","1,110 ",977 ,969 ,"1,045 ",996 ,"1,086 ","1,148 ","1,038 ","1,071 ","1,104 ","1,147 ","1,428 ","1,500 ","1,590 ","1,598 ","1,637 ","1,587 ","1,594 ","1,620 ","1,662 ","1,680 ","1,628 ","1,601 ","1,615 ","1,640 ","1,658 ","1,556 ","1,411 ","1,239 ","1,219 ","1,232 ",,
South Africa,"3,828 ","3,735 ","3,642 ","3,683 ","3,750 ","3,868 ","4,405 ","4,536 ","4,354 ","4,242 ","4,367 ","4,122 ","4,353 ","4,392 ","4,431 ","4,486 ","4,579 ","4,716 ","4,543 ","4,321 ","4,445 ","4,481 ","4,289 ","4,208 ","4,119 ","4,023 ","3,936 ","3,940 ","3,906 ","3,769 ","3,478 ","3,518 ","3,405 ","3,247 ",,
Swazilannd,462 ,410 ,341 ,274 ,364 ,425 ,536 ,634 ,726 ,729 ,658 ,670 ,800 ,808 ,719 ,868 ,953 ,982 ,992 ,"1,393 ","1,339 ","1,082 ","1,025 ","1,113 ","1,128 ","1,124 ","1,060 ","1,146 ","1,066 ","1,133 ","1,092 ","1,082 ","1,155 ","1,200 ",,
Tanzania,50 ,53 ,52 ,48 ,49 ,56 ,60 ,55 ,60 ,55 ,59 ,62 ,68 ,68 ,80 ,79 ,66 ,82 ,86 ,73 ,97 ,88 ,99 ,100 ,103 ,106 ,106 ,108 ,111 ,122 ,119 ,129 ,132 ,135 ,,
Zambia,786 ,761 ,760 ,765 ,756 ,734 ,710 ,661 ,604 ,607 ,623 ,643 ,667 ,683 ,703 ,706 ,713 ,661 ,582 ,557 ,575 ,613 ,711 ,724 ,695 ,718 ,661 ,719 ,749 ,715 ,619 ,675 ,705 ,727 ,,
Zimbabwe,891 ,879 ,802 ,753 ,805 ,856 ,897 ,924 ,888 ,930 ,897 ,869 ,869 ,862 ,832 ,863 ,839 ,728 ,600 ,558 ,577 ,604 ,578 ,599 ,583 ,553 ,512 ,543 ,642 ,539 ,480 ,460 ,554 ,504 ,,
