Category,SubCategory,TransmissionZone,VoltageLevel,Period,Season,Value,Unit
ActiveEnergy,Energy Charge,<300km,<500V,Peak,High Summer,684.59,c/kWh
ActiveEnergy,Energy Charge,<300km,<500V,Standard,High Summer,171.15,c/kWh
ActiveEnergy,Energy Charge,<300km,<500V,Off-Peak,High Summer,114.09,c/kWh
ActiveEnergy,Energy Charge,<300km,<500V,Peak,Low Summer,284.12,c/kWh
ActiveEnergy,Energy Charge,<300km,<500V,Standard,Low Summer,159.74,c/kWh
ActiveEnergy,Energy Charge,<300km,<500V,Off-Peak,Low Summer,114.09,c/kWh
ActiveEnergy,Energy Charge,<300km,>=500V,Peak,High Summer,661.33,c/kWh
ActiveEnergy,Energy Charge,<300km,>=500V,Standard,High Summer,164.08,c/kWh
ActiveEnergy,Energy Charge,<300km,>=500V,Off-Peak,High Summer,109.39,c/kWh
ActiveEnergy,Energy Charge,<300km,>=500V,Peak,Low Summer,274.56,c/kWh
ActiveEnergy,Energy Charge,<300km,>=500V,Standard,Low Summer,153.15,c/kWh
ActiveEnergy,Energy Charge,<300km,>=500V,Off-Peak,Low Summer,109.39,c/kWh
ActiveEnergy,Energy Charge,>=300km,<500V,Peak,High Summer,704.11,c/kWh
ActiveEnergy,Energy Charge,>=300km,<500V,Standard,High Summer,186.81,c/kWh
ActiveEnergy,Energy Charge,>=300km,<500V,Off-Peak,High Summer,124.54,c/kWh
ActiveEnergy,Energy Charge,>=300km,<500V,Peak,Low Summer,292.28,c/kWh
ActiveEnergy,Energy Charge,>=300km,<500V,Standard,Low Summer,174.35,c/kWh
ActiveEnergy,Energy Charge,>=300km,<500V,Off-Peak,Low Summer,124.54,c/kWh
ActiveEnergy,Energy Charge,>=300km,>=500V,Peak,High Summer,678.97,c/kWh
ActiveEnergy,Energy Charge,>=300km,>=500V,Standard,High Summer,177.68,c/kWh
ActiveEnergy,Energy Charge,>=300km,>=500V,Off-Peak,High Summer,118.46,c/kWh
ActiveEnergy,Energy Charge,>=300km,>=500V,Peak,Low Summer,281.75,c/kWh
ActiveEnergy,Energy Charge,>=300km,>=500V,Standard,Low Summer,163.58,c/kWh
ActiveEnergy,Energy Charge,>=300km,>=500V,Off-Peak,Low Summer,118.46,c/kWh
FixedCharge,Legacy Charge,All,All,All,All,22.78,c/kWh
FixedCharge,Generation Capacity Charge,All,All,All,All,9.40,R/kVA/month
FixedCharge,Ancillary Services (DSM),All,All,All,All,0.75,c/kWh
FixedCharge,Ancillary Services (ASF),All,All,All,All,0.36,c/kWh
FixedCharge,Service Charge (>1MVA),All,All,All,All,198.52,R/day
FixedCharge,Transmission Network Charge (TUoS),All,All,All,All,48.10,R/kVA/month
FixedCharge,Distribution Network Charge (DUoS),All,All,All,All,12.50,R/kVA/month
FixedCharge,Electrification & Rural Subsidy (NN),All,All,All,All,2.45,c/kWh
FixedCharge,Energy Management Charge,All,All,All,All,0.15,c/kWh
FixedCharge,Environmental Levy (where applicable),All,All,All,All,3.50,c/kWh
FixedCharge,VAT,All,All,All,All,15.00,%
Other,Reactive Energy Charge,All,All,All,All,22.80,c/kVArh
Other,Excess NMD Penalty,All,All,All,All,3.00,times normal demand charge
Other,Disconnection-Reconnection Fee,All,All,All,All,450.00,R/event
Other,Credit Guarantee Admin Fee,All,All,All,All,250.00,R/month
