Year,Format,Peak_High,Standard_High,OffPeak_High,Peak_Low,Standard_Low,OffPeak_Low,High_Season,Low_Season,Increase%
1996/97,classic,,,,,,,7.16,5.56,4.0
1997/98,classic,,,,,,,7.7,5.98,7.5
1998/99,classic,,,,,,,8.27,6.43,7.5
1999/00,classic,,,,,,,8.84,6.86,6.8
2000/01,classic,,,,,,,9.53,7.4,7.8
2001/02,classic,,,,,,,10.36,8.05,8.8
2002/03,classic,,,,,,,11.37,8.83,9.7
2003/04,classic,,,,,,,12.11,9.4,6.5
2004/05,classic,,,,,,,12.6,9.79,4.1
2005/06,classic,,,,,,,13.12,10.19,4.1
2006/07,classic,,,,,,,13.79,10.71,5.1
2007/08,classic,,,,,,,15.74,12.22,14.1
2008/09,classic,,,,,,,20.07,15.58,27.5
2009/10,classic,,,,,,,26.35,20.46,31.3
2010/11,classic,,,,,,,32.88,25.53,24.8
2011/12,classic,,,,,,,41.03,31.86,24.8
2012/13,classic,,,,,,,47.6,36.96,16.0
2013/14,classic,,,,,,,52.43,40.72,8.0
2014/15,classic,,,,,,,55.5,43.1,5.85
2015/16,urban_large,,,,,,,62.31,48.32,9.69
2016/17,urban_large,,,,,,,68.17,52.86,9.4
2017/18,urban_large,,,,,,,69.67,54.02,2.2
2018/19,urban_large,,,,,,,73.31,56.85,5.23
2019/20,modern,333.51,101.47,55.41,109.21,75.36,48.04,,,9.41
2020/21,modern,362.73,110.36,60.26,118.78,81.96,52.25,,,8.76
2021/22,modern,417.36,126.98,69.34,136.67,94.3,60.12,,,15.06
2022/23,modern,457.47,139.18,76.0,149.8,103.36,65.9,,,9.61
2023/24,modern,542.79,165.14,90.17,177.74,122.64,78.19,,,18.65
2024/25,modern,611.94,186.18,101.66,200.38,138.26,88.15,,,12.74
2025/26,modern,684.59,171.15,114.09,284.12,159.74,114.09,,,12.74
