Year,Peak,Standard,OffPeak,Increase%
1996/97,7.16,5.09,3.34,4.0
1997/98,7.7,5.47,3.59,7.5
1998/99,8.27,5.88,3.86,7.5
1999/00,8.84,6.28,4.12,6.8
2000/01,9.53,6.77,4.44,7.8
2001/02,10.36,7.36,4.83,8.8
2002/03,11.37,8.08,5.3,9.7
2003/04,12.11,8.6,5.64,6.5
2004/05,12.6,8.96,5.87,4.1
2005/06,13.12,9.32,6.11,4.1
2006/07,13.79,9.8,6.43,5.1
2007/08,15.74,11.18,7.33,14.1
2008/09,20.07,14.26,9.35,27.5
2009/10,26.35,18.72,12.28,31.3
2010/11,32.88,23.36,15.32,24.8
2011/12,41.03,29.16,19.12,24.8
2012/13,47.6,33.82,22.18,16.0
2013/14,52.43,37.26,24.43,8.0
2014/15,55.5,39.44,25.86,5.85
2015/16,62.31,44.25,28.99,9.69
2016/17,68.17,48.41,31.72,9.4
2017/18,69.67,49.48,32.41,2.2
2018/19,73.31,52.06,34.11,5.23
2019/20,333.51,101.47,55.41,9.41
2020/21,362.73,110.36,60.26,8.76
2021/22,417.36,126.98,69.34,15.06
2022/23,457.47,139.18,76.0,9.61
2023/24,542.79,165.14,90.17,18.65
2024/25,611.94,186.18,101.66,12.74
2025/26,684.59,171.15,114.09,12.74
