Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Angola,,,,,,,,,,,"12,275,711 ","13,397,766 ","12,770,514 ","13,027,135 ","13,317,903 ","13,619,560 ","13,910,619 ","12,986,601 ","13,270,873 ","14,838,580 ","15,141,636 ","15,838,802 ","15,786,226 ","16,118,022 ","18,469,323 ","16,331,523 ","16,984,547 ","17,264,093 ","17,119,544 ","17,612,344 ","17,729,100 ","17,887,798 ","18,352,040 ","17,970,704 ",,
Botswana,,"1,206,239 ","1,250,310 ","1,254,814 ","1,257,372 ","1,257,074 ","1,253,920 ","1,247,923 ","1,240,044 ","1,230,677 ","1,232,876 ","1,287,615 ","1,273,677 ","1,187,967 ","1,169,223 ","1,149,923 ","1,130,333 ","1,110,408 ","1,082,233 ","1,126,721 ","975,893 ","970,414 ","927,791 ","899,086 ","868,818 ","835,040 ","800,050 ","738,960 ","728,828 ","697,293 ","667,182 ","631,579 ","588,014 ","595,259 ",,
DRC,,,,,,,,,,,"47,123,443 ","48,431,228 ","49,611,734 ","50,750,326 ","51,867,944 ","55,249,181 ","54,433,085 ","52,981,134 ","56,921,347 ","58,243,363 ","59,649,843 ","61,142,955 ","61,973,407 ","64,269,407 ","67,818,804 ","67,583,633 ","69,431,955 ","71,408,386 ","73,208,735 ","75,194,481 ","76,696,008 ","78,525,954 ","80,381,620 ","82,410,200 ",,
Lesotho,,,,,,,,,,,"1,917,745 ","1,974,842 ","1,926,860 ","1,877,866 ","1,837,092 ","1,765,581 ","1,756,392 ","1,681,764 ","1,651,894 ","1,644,133 ","1,656,888 ","1,560,857 ","1,615,277 ","1,503,304 ","1,501,824 ","1,435,345 ","1,382,644 ","1,430,164 ","1,157,310 ","1,224,010 ","1,173,757 ","1,121,725 ","1,143,055 ","986,999 ",,
Malawi,,,"9,810,756 ","10,124,622 ","9,960,580 ","9,899,409 ","10,048,908 ","10,205,038 ","10,379,509 ","10,576,063 ","10,772,777 ","10,990,219 ","11,215,135 ","11,426,316 ","11,638,186 ","11,992,589 ","12,710,349 ","12,571,694 ","12,886,256 ","13,200,938 ","13,536,561 ","14,104,880 ","14,547,068 ","14,707,253 ","14,643,575 ","15,240,344 ","15,626,388 ","15,748,671 ","15,193,026 ","16,894,868 ","17,287,491 ","17,200,547 ","17,689,106 ","17,812,183 ",,
Mozambique,,,,,,,,"15,831,283 ","16,705,803 ","16,869,062 ","17,023,744 ","17,481,078 ","17,365,838 ","17,821,685 ","17,717,400 ","17,908,630 ","18,084,766 ","18,647,968 ","18,851,647 ","19,032,983 ","18,652,380 ","18,871,933 ","19,178,223 ","19,440,050 ","19,392,933 ","20,176,155 ","20,174,783 ","21,321,960 ","19,993,846 ","21,008,719 ","21,363,879 ","21,719,843 ","21,814,372 ","21,526,502 ",,
Namibia,,,"1,075,533 ","1,101,349 ","1,106,065 ","1,122,320 ","1,136,305 ","1,149,037 ","1,161,112 ","1,172,403 ","1,154,841 ","1,188,511 ","1,192,571 ","1,192,663 ","1,190,496 ","1,187,816 ","1,185,173 ","1,136,472 ","1,179,104 ","1,161,263 ","1,173,055 ","1,238,430 ","1,176,335 ","1,184,819 ","1,193,064 ","1,149,161 ","1,226,924 ","1,190,755 ","1,229,385 ","1,237,781 ","1,301,619 ","1,259,126 ","1,265,672 ","1,283,020 ",,
South Africa,,,,,,,"19,132,160 ","13,937,519 ","16,224,582 ","13,397,587 ","13,016,082 ","14,174,906 ","11,188,524 ","10,282,074 ","9,504,336 ","9,502,086 ","9,649,667 ","9,095,145 ","9,251,742 ","9,000,762 ","9,003,177 ","8,691,214 ","7,959,820 ","8,092,461 ","7,838,872 ","8,338,360 ","9,218,788 ","8,991,085 ","8,967,789 ","8,938,183 ","6,056,238 ","6,580,779 ","8,421,085 ","7,775,123 ",,
Swazilannd,,,,,,,,,,,"828,966 ","768,328 ","785,046 ","760,557 ","736,187 ","709,996 ","702,715 ","656,604 ","630,304 ","678,564 ","604,738 ","545,503 ","513,605 ","480,246 ","397,705 ","410,270 ","420,720 ","306,922 ","303,922 ","271,371 ","238,546 ","206,327 ","215,748 ","167,349 ",,
Tanzania,,,"25,590,472 ","27,672,540 ","28,470,758 ","29,086,122 ","28,036,860 ","29,620,247 ","30,099,153 ","30,636,304 ","31,279,507 ","31,784,064 ","32,256,324 ","32,972,614 ","33,765,166 ","33,774,950 ","34,290,962 ","34,847,266 ","37,675,094 ","38,746,976 ","38,134,232 ","39,493,197 ","40,125,998 ","40,816,971 ","38,518,907 ","38,391,470 ","36,169,737 ","37,788,312 ","37,391,581 ","36,865,957 ","36,644,652 ","36,001,826 ","35,073,807 ","34,441,302 ",,
Zambia,"6,703,892 ","6,963,990 ","6,606,757 ","7,183,987 ","7,294,974 ","7,409,034 ","7,446,352 ","7,656,602 ","7,680,750 ","7,934,208 ","8,344,687 ","8,239,498 ","8,795,206 ","8,951,630 ","9,036,544 ","8,988,334 ","9,206,331 ","10,240,544 ","9,674,844 ","9,901,946 ","10,893,163 ","10,351,900 ","10,558,849 ","10,763,899 ","11,460,522 ","11,298,972 ","10,926,717 ","10,412,468 ","10,748,194 ","10,552,888 ","10,558,905 ","10,448,723 ","10,519,834 ","10,134,019 ",,
Zimbabwe,,,"7,684,539 ","7,476,222 ","7,817,793 ","7,468,215 ","7,549,746 ","7,649,620 ","7,756,585 ","7,258,610 ","7,884,432 ","7,877,511 ","7,953,676 ","7,938,778 ","7,963,637 ","7,976,913 ","7,935,687 ","8,040,948 ","8,073,550 ","7,438,819 ","8,160,851 ","8,578,713 ","7,738,017 ","8,324,202 ","9,618,382 ","9,546,546 ","8,395,169 ","8,294,990 ","8,208,811 ","8,139,639 ","7,344,218 ","8,056,577 ","8,018,459 ","6,209,512 ",,
