Programme,Bid Window,Year,Technology,Allocated MW,Preferred Bidders,Notes
REIPPPP,BW1,2011,Solar PV,626.81,20,"First bid window, 1425.34 MW total allocated"
REIPPPP,BW1,2011,Wind,648.53,8,""
REIPPPP,BW1,2011,CSP,150,2,""
REIPPPP,BW2,2012,Solar PV,417.12,9,"1040.96 MW total allocated"
REIPPPP,BW2,2012,Wind,559.44,7,""
REIPPPP,BW2,2012,CSP,50,1,""
REIPPPP,BW2,2012,Small Hydro,14.4,2,""
REIPPPP,BW3,2013,Solar PV,435,6,"1456.56 MW total allocated"
REIPPPP,BW3,2013,Wind,787,9,""
REIPPPP,BW3,2013,CSP,200,2,""
REIPPPP,BW3,2013,Landfill Gas,18,1,""
REIPPPP,BW3,2013,Biomass,16,1,""
REIPPPP,BW3.5,2014,CSP,200,2,"Expedited window for CSP (Kathu Solar Park, Redstone)"
REIPPPP,BW4,2018,Solar PV,1079.2,12,"2204.51 MW total allocated; extended by 1800 MW"
REIPPPP,BW4,2018,Wind,1075.31,12,""
REIPPPP,BW4,2018,Biomass,25,1,""
REIPPPP,BW4,2018,Small Hydro,25,1,""
REIPPPP,BW5,2021,Solar PV,1000,13,"2583 MW total allocated; R50bn private investment"
REIPPPP,BW5,2021,Wind,1600,12,"Weighted avg price R473/MWh"
REIPPPP,BW6,2022,Solar PV,1000,6,"Original target 5200 MW; wind bids received but grid constrained"
REIPPPP,BW7,2024,Solar PV,1800,TBD,"Target 5000 MW: 3200 MW wind + 1800 MW solar"
REIPPPP,BW7,2024,Wind,3200,TBD,"Rolling bid window"
RMIPPPP,BW1,2020,Various,2000,12,"Risk Mitigation IPP Procurement Programme; 1995 MW allocated to 12 projects (gas/diesel/battery/storage)"
BESIPPPP,BW1,2024,Battery Storage,360,2,"1440 MWh storage capacity (360 MW)"
BESIPPPP,BW2,2025,Battery Storage,616,5,"Signed May 2025"
BESIPPPP,BW3,2025,Battery Storage,TBD,TBD,"Announced 30 May 2025"
